"","subject","language","abbreviation","framesetter","topic","verb"
"413","22_D","D","9u","3","1","2"
"414","22_D","D","7u","3","1","2"
"415","22_D","D","4b","3","1","2"
"416","22_D","D","8u","3","1","2"
"417","22_D","D","2b","2","1","3"
"418","22_D","D","5u","3","1","2"
"419","22_D","D","8b","3","1","2"
"420","22_D","D","1u","3","1","2"
"421","23_D","D","10b","1","2","3"
"422","23_D","D","3u","3","1","2"
"423","23_D","D","6b","1","2","3"
"424","23_D","D","4u","2","1","3"
"425","23_D","D","2u","2","1","3"
"426","23_D","D","9b","2","3","1"
"427","23_D","D","7b","1","2","3"
"428","23_D","D","6u","2","1","3"
"429","23_D","D","3b","2","1","3"
"430","23_D","D","1b","1","2","3"
"431","23_D","D","10u","3","1","2"
"432","23_D","D","5b","3","2","1"
"433","23_D","D","9u","3","1","2"
"434","23_D","D","7u","2","1","3"
"435","23_D","D","4b","1","2","3"
"436","23_D","D","8u","1","2","3"
"437","23_D","D","2b","3","1","2"
"438","23_D","D","5u","2","1","3"
"439","23_D","D","8b","1","2","3"
"440","23_D","D","1u","3","1","2"
"441","24_D","D","10b","3","1","2"
"442","24_D","D","3u","3","1","2"
"443","24_D","D","6b","3","1","2"
"444","24_D","D","4u","3","1","2"
"445","24_D","D","2u","3","1","2"
"446","24_D","D","9b","3","1","2"
"447","24_D","D","7b","3","1","2"
"448","24_D","D","6u","3","1","2"
"449","24_D","D","3b","3","1","2"
"450","24_D","D","1b","3","1","2"
"451","24_D","D","10u","3","1","2"
"452","24_D","D","5b","3","1","2"
"453","24_D","D","9u","3","1","2"
"454","24_D","D","7u","3","1","2"
"455","24_D","D","4b","3","1","2"
"456","24_D","D","8u","3","1","2"
"457","24_D","D","2b","3","1","2"
"458","24_D","D","5u","3","1","2"
"459","24_D","D","8b","1","1","2"
"460","24_D","D","1u","3","1","2"
"461","25_D","D","10b","2","1","3"
"462","25_D","D","3u","2","1","3"
"463","25_D","D","6b","2","1","3"
"464","25_D","D","4u","1","2","3"
"465","25_D","D","2u","2","1","3"
"466","25_D","D","9b","2","1","3"
"467","25_D","D","7b","2","1","3"
"468","25_D","D","6u","2","1","3"
"470","25_D","D","1b","2","1","3"
"471","25_D","D","10u","2","1","3"
