subject,language,abbreviation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb
17,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
17,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
18,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",2,1,3
18,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
18,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",2,1,3
18,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
18,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
18,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
18,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",2,1,3
18,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
18,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
18,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
18,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",2,1,3
18,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,2,3
18,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,2,3
18,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
18,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",2,1,3
18,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
18,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",2,1,3
18,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,2,3
18,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
18,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
19,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
19,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
19,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,2,3
19,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
19,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
19,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
19,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
19,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
19,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
19,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
19,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",1,2,3
19,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",2,1,3
19,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,2,3
19,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
19,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
19,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
19,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
19,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,2,3
19,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
19,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
20,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
20,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
20,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
20,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",2,1,3
20,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,1,2
20,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
20,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
20,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",3,1,2
20,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,1,2
20,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,1,2
20,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
20,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,1,2
20,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
20,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",3,1,2
20,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
20,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,1,2
20,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",2,1,3
20,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
20,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
20,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
21,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
21,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
21,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",2,1,3
21,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
21,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",2,1,3
21,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",2,1,3
21,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",2,1,3
21,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
21,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",2,1,3
21,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,1,2
21,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
21,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",,2,1
21,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,2,1
21,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",2,1,3
21,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
21,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",2,3,1
21,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
21,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",2,1,3
21,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,2,1
21,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
22,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",3,1,2
22,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
22,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
22,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",3,1,2
22,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,1,2
22,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",2,1,3
22,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
22,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",3,1,2
22,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,1,2
22,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,1,2
22,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
22,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",2,1,3
22,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
22,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",3,1,2
22,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
22,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,1,2
22,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",2,1,3
22,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
22,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
22,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
23,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
23,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",3,1,2
23,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,2,3
23,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",2,1,3
23,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",2,1,3
23,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",2,3,1
23,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
23,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",2,1,3
23,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",2,1,3
23,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
23,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
23,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,2,1
23,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
23,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",2,1,3
23,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
23,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
23,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
23,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",2,1,3
23,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
23,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
24,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",3,1,2
24,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",3,1,2
24,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
24,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",3,1,2
24,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,1,2
24,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
24,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
24,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",3,1,2
24,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,1,2
24,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,1,2
24,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
24,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,1,2
24,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
24,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",3,1,2
24,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
24,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,1,2
24,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
24,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
24,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,1,2
24,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
25,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",2,1,3
25,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
25,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",2,1,3
25,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
25,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",2,1,3
25,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",2,1,3
25,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",2,1,3
25,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",2,1,3
25,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",,1,2
25,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",2,1,3
25,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",2,1,3
25,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",2,1,3
25,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",2,1,3
25,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",2,1,3
25,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",2,1,3
25,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",2,1,3
25,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",2,1,3
25,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",2,1,3
25,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",2,1,3
25,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",2,1,3
26,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,3,2
26,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
26,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,2,3
26,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
26,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
26,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
26,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
26,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
26,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
26,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
26,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
26,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,2,3
26,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,3,2
26,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
26,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,3,2
26,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,3,2
26,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
26,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,2,3
26,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
26,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
27,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
27,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
27,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,2,3
27,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,3,2
27,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
27,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,3,2
27,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,3,2
27,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,3,2
27,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,3,2
27,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,3,2
27,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",1,3,2
27,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,3,2
27,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,3,2
27,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,3,2
27,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,3,2
27,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,3,2
27,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,3,2
27,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,3,2
27,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,3,2
27,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,3,2
28,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",2,1,3
28,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
28,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,2,3
28,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
28,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
28,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
28,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
28,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
28,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
28,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
28,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
28,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,2,3
28,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,3,2
28,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
28,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
28,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
28,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",2,1,3
28,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",2,1,3
28,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
28,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
29,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
29,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
29,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,2,3
29,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
29,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",2,1,3
29,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",2,1,3
29,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",2,1,3
29,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",2,1,3
29,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",2,1,3
29,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
29,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",2,1,3
29,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",2,1,3
29,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
29,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
29,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",2,1,3
29,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",2,1,3
29,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",2,1,3
29,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",2,1,3
29,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
29,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",2,1,3
30,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
30,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
30,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
30,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,3,2
30,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,1,2
30,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
30,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",2,1,3
30,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,3,2
30,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,2,1
30,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,2,1
30,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,2,1
30,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,3,2
30,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,2,1
30,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
30,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
30,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",2,3,1
30,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
30,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",2,1,3
30,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,2,1
30,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,3,2
31,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",4,2,1
31,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",3,1,2
31,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,3,2
31,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
31,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",2,1,3
31,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
31,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
31,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",2,3,1
31,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
31,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,2,1
31,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
31,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,2,3
31,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",,1,2
31,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
31,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
31,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",2,1,3
31,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
31,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",2,1,3
31,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
31,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,3,2
33,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",2,3,1
33,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
33,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
33,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
33,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",2,1,3
33,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",2,1,3
33,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
33,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",3,1,2
33,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,1,2
33,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
33,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",2,1,3
33,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,1,2
33,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
33,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",2,1,3
33,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
33,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,1,2
33,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
33,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
33,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
33,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",2,1,3
34,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",3,1,2
34,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",3,1,2
34,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
34,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",3,1,2
34,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,1,2
34,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
34,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
34,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",3,1,2
34,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,1,2
34,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,1,2
34,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
34,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,1,2
34,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
34,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",3,1,2
34,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
34,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",,1,2
