"","participant","language","item","category","order","framesetter","topic","verb","verbal_framesetter","verbal_topic","verbal_Verb","Forder_A","Vorder_A","Torder_A","Forder_V","Vorder_V","Torder_V","action_order","verbal_order"
"1236","19_E","E","1u","E","30","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1239","20_E","E","10b","E","1","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1241","20_E","E","3u","E","3","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1242","20_E","E","6b","E","4","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1246","20_E","E","2u","E","8","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1247","20_E","E","9b","E","9","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1250","20_E","E","6u","E","12","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1252","20_E","E","3b","E","14","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1255","20_E","E","10u","E","17","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1257","20_E","E","5b","E","19","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1260","20_E","E","4b","E","22","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1262","20_E","E","8u","E","24","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1264","20_E","E","2b","E","26","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1265","20_E","E","5u","E","27","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1267","20_E","E","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1268","20_E","E","1u","E","30","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1271","21_E","E","10b","E","1","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1273","21_E","E","3u","E","3","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1274","21_E","E","6b","E","4","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1277","21_E","E","4u","E","7","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1278","21_E","E","2u","E","8","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1279","21_E","E","9b","E","9","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1281","21_E","E","7b","E","11","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1282","21_E","E","6u","E","12","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1284","21_E","E","3b","E","14","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1287","21_E","E","10u","E","17","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1289","21_E","E","5b","E","19","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1290","21_E","E","9u","E","20","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1291","21_E","E","7u","E","21","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1292","21_E","E","4b","E","22","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1294","21_E","E","8u","E","24","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1296","21_E","E","2b","E","26","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1297","21_E","E","5u","E","27","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1299","21_E","E","8b","E","29","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1300","21_E","E","1u","E","30","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1303","22_E","E","10b","E","1","1","3","2",1,2,3,"Ffirst","Vmid","Tlast","Ffirst","Vlast","Tmid","FVT","FTV"
"1305","22_E","E","3u","E","3","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1306","22_E","E","6b","E","4","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1310","22_E","E","2u","E","8","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1311","22_E","E","9b","E","9","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1314","22_E","E","6u","E","12","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1316","22_E","E","3b","E","14","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1318","22_E","E","1b","E","16","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1319","22_E","E","10u","E","17","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1321","22_E","E","5b","E","19","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1323","22_E","E","7u","E","21","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1324","22_E","E","4b","E","22","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1326","22_E","E","8u","E","24","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1328","22_E","E","2b","E","26","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1329","22_E","E","5u","E","27","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1331","22_E","E","8b","E","29","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1332","22_E","E","1u","E","30","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1335","23_E","E","10b","E","1","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1337","23_E","E","3u","E","3","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1338","23_E","E","6b","E","4","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1341","23_E","E","4u","E","7","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1342","23_E","E","2u","E","8","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1343","23_E","E","9b","E","9","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1345","23_E","E","7b","E","11","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1346","23_E","E","6u","E","12","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1348","23_E","E","3b","E","14","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1350","23_E","E","1b","E","16","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1351","23_E","E","10u","E","17","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1353","23_E","E","5b","E","19","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1354","23_E","E","9u","E","20","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1355","23_E","E","7u","E","21","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1356","23_E","E","4b","E","22","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1358","23_E","E","8u","E","24","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1360","23_E","E","2b","E","26","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1361","23_E","E","5u","E","27","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1363","23_E","E","8b","E","29","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1364","23_E","E","1u","E","30","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1367","24_E","E","10b","E","1","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1369","24_E","E","3u","E","3","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1370","24_E","E","6b","E","4","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1373","24_E","E","4u","E","7","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1374","24_E","E","2u","E","8","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1375","24_E","E","9b","E","9","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1378","24_E","E","6u","E","12","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1382","24_E","E","1b","E","16","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1383","24_E","E","10u","E","17","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1385","24_E","E","5b","E","19","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1386","24_E","E","9u","E","20","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1387","24_E","E","7u","E","21","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1388","24_E","E","4b","E","22","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1390","24_E","E","8u","E","24","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1392","24_E","E","2b","E","26","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1393","24_E","E","5u","E","27","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1395","24_E","E","8b","E","29","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1396","24_E","E","1u","E","30","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1399","25_E","E","10b","E","1","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1401","25_E","E","3u","E","3","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1402","25_E","E","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1406","25_E","E","2u","E","8","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1407","25_E","E","9b","E","9","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1412","25_E","E","3b","E","14","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1414","25_E","E","1b","E","16","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1417","25_E","E","5b","E","19","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1418","25_E","E","9u","E","20","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1419","25_E","E","7u","E","21","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"1420","25_E","E","4b","E","22","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1422","25_E","E","8u","E","24","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1424","25_E","E","2b","E","26","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1425","25_E","E","5u","E","27","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1427","25_E","E","8b","E","29","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1428","25_E","E","1u","E","30","1","2","3",2,1,3,"Ffirst","Vlast","Tmid","Fmid","Vlast","Tfirst","FTV","TFV"
"1433","26_E","E","3u","E","3","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"1434","26_E","E","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1437","26_E","E","4u","E","7","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1438","26_E","E","2u","E","8","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1439","26_E","E","9b","E","9","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1441","26_E","E","7b","E","11","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1442","26_E","E","6u","E","12","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1444","26_E","E","3b","E","14","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1446","26_E","E","1b","E","16","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1447","26_E","E","10u","E","17","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1449","26_E","E","5b","E","19","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1450","26_E","E","9u","E","20","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"1451","26_E","E","7u","E","21","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1452","26_E","E","4b","E","22","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1454","26_E","E","8u","E","24","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1456","26_E","E","2b","E","26","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1457","26_E","E","5u","E","27","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1459","26_E","E","8b","E","29","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1460","26_E","E","1u","E","30","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1463","27_E","E","10b","E","1","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1465","27_E","E","3u","E","3","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1466","27_E","E","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1470","27_E","E","2u","E","8","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1471","27_E","E","9b","E","9","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1474","27_E","E","6u","E","12","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1478","27_E","E","1b","E","16","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1479","27_E","E","10u","E","17","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1481","27_E","E","5b","E","19","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1483","27_E","E","7u","E","21","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1484","27_E","E","4b","E","22","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1486","27_E","E","8u","E","24","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1488","27_E","E","2b","E","26","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1489","27_E","E","5u","E","27","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1491","27_E","E","8b","E","29","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1495","28_E","E","10b","E","1","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1497","28_E","E","3u","E","3","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1498","28_E","E","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1503","28_E","E","9b","E","9","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1508","28_E","E","3b","E","14","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1510","28_E","E","1b","E","16","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1511","28_E","E","10u","E","17","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1513","28_E","E","5b","E","19","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1515","28_E","E","7u","E","21","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1516","28_E","E","4b","E","22","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1518","28_E","E","8u","E","24","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1520","28_E","E","2b","E","26","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1521","28_E","E","5u","E","27","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1523","28_E","E","8b","E","29","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1527","29_E","E","10b","E","1","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1529","29_E","E","3u","E","3","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1530","29_E","E","6b","E","4","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1534","29_E","E","2u","E","8","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1535","29_E","E","9b","E","9","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1537","29_E","E","7b","E","11","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1538","29_E","E","6u","E","12","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1540","29_E","E","3b","E","14","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1542","29_E","E","1b","E","16","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1543","29_E","E","10u","E","17","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1547","29_E","E","7u","E","21","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1548","29_E","E","4b","E","22","3","1","2",1,2,3,"Flast","Vmid","Tfirst","Ffirst","Vlast","Tmid","VFT","FTV"
"1550","29_E","E","8u","E","24","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1552","29_E","E","2b","E","26","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"1553","29_E","E","5u","E","27","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"1555","29_E","E","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1556","29_E","E","1u","E","30","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1559","30_E","E","10b","E","1","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1562","30_E","E","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1566","30_E","E","2u","E","8","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1569","30_E","E","7b","E","11","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1570","30_E","E","6u","E","12","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1572","30_E","E","3b","E","14","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1574","30_E","E","1b","E","16","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1575","30_E","E","10u","E","17","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1577","30_E","E","5b","E","19","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1579","30_E","E","7u","E","21","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1580","30_E","E","4b","E","22","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1582","30_E","E","8u","E","24","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1584","30_E","E","2b","E","26","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1585","30_E","E","5u","E","27","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1587","30_E","E","8b","E","29","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1588","30_E","E","1u","E","30","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1591","31_E","E","10b","E","1","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"1593","31_E","E","3u","E","3","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1594","31_E","E","6b","E","4","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1598","31_E","E","2u","E","8","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1599","31_E","E","9b","E","9","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1601","31_E","E","7b","E","11","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"1602","31_E","E","6u","E","12","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1604","31_E","E","3b","E","14","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"1606","31_E","E","1b","E","16","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1607","31_E","E","10u","E","17","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"1609","31_E","E","5b","E","19","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
