"","participant","language","item","category","order","framesetter","topic","verb","verbal_framesetter","verbal_topic","verbal_Verb","Forder_A","Vorder_A","Torder_A","Forder_V","Vorder_V","Torder_V","action_order","verbal_order"
"119","6_D","D","8b","E","29","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"120","6_D","D","1u","E","30","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"121","7_D","D","10b","E","1","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"122","7_D","D","3u","E","3","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"123","7_D","D","6b","E","4","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"124","7_D","D","4u","E","7","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"125","7_D","D","2u","E","8","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"126","7_D","D","9b","E","9","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"127","7_D","D","7b","E","11","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"128","7_D","D","6u","E","12","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"129","7_D","D","3b","E","14","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"130","7_D","D","1b","E","16","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"131","7_D","D","10u","E","17","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"132","7_D","D","5b","E","19","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"133","7_D","D","9u","E","20","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"134","7_D","D","7u","E","21","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"135","7_D","D","4b","E","22","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"136","7_D","D","8u","E","24","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"137","7_D","D","2b","E","26","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"138","7_D","D","5u","E","27","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"139","7_D","D","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"140","7_D","D","1u","E","30","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"141","8_D","D","10b","E","1","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"142","8_D","D","3u","E","3","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"143","8_D","D","6b","E","4","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"144","8_D","D","4u","E","7","2","3","1",1,3,2,"Fmid","Vfirst","Tlast","Ffirst","Vmid","Tlast","TVF","FVT"
"145","8_D","D","2u","E","8","3","2","1",1,3,2,"Flast","Vfirst","Tmid","Ffirst","Vmid","Tlast","VTF","FVT"
"146","8_D","D","9b","E","9","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"147","8_D","D","7b","E","11","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"148","8_D","D","6u","E","12","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"151","8_D","D","10u","E","17","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"152","8_D","D","5b","E","19","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"153","8_D","D","9u","E","20","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"155","8_D","D","4b","E","22","3","2","1",1,3,2,"Flast","Vfirst","Tmid","Ffirst","Vmid","Tlast","VTF","FVT"
"156","8_D","D","8u","E","24","3","2","1",1,3,2,"Flast","Vfirst","Tmid","Ffirst","Vmid","Tlast","VTF","FVT"
"157","8_D","D","2b","E","26","3","2","1",1,3,2,"Flast","Vfirst","Tmid","Ffirst","Vmid","Tlast","VTF","FVT"
"159","8_D","D","8b","E","29","2","3","1",1,3,2,"Fmid","Vfirst","Tlast","Ffirst","Vmid","Tlast","TVF","FVT"
"160","8_D","D","1u","E","30","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"161","9_D","D","10b","E","1","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"162","9_D","D","3u","E","3","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"163","9_D","D","6b","E","4","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"164","9_D","D","4u","E","7","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"165","9_D","D","2u","E","8","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"166","9_D","D","9b","E","9","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"167","9_D","D","7b","E","11","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"168","9_D","D","6u","E","12","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"169","9_D","D","3b","E","14","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"170","9_D","D","1b","E","16","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"171","9_D","D","10u","E","17","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"172","9_D","D","5b","E","19","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"173","9_D","D","9u","E","20","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
