subject,language,abbreviation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb,,,,,,,,,,,,,
7,T,,F,28,Ärztin steht,durmak,"Frau, Bäuerin, Ärztin",,1,2,,,,,,,,,,,,,
7,T,8b,E,29,Robbe taucht ins Wasser,dalmak,"Robbe, Ball",1,2,3,,,,,,,,,,,,,
7,T,1u,E,30,Ball liegt auf dem Boden.,durmak,"Ball, Pferd",2,1,3,,,,,,,,,,,,,
8,T,Tb,T,T,Frau dreht sich,dönmek,"Frau, Hund",1,2,3,,,,,,,,,,,,,
8,T,Tu,T,T,Reifen dreht sich,dönmek,"Reifen, Hund",2,1,3,,,,,,,,,,,,,
8,T,10b,E,1,Seemann raucht,sigara içmek,"Seemann, Hund",2,1,3,,,,,,,,,,,,,
8,T,,F,2,Pferd trägt Ball im Maul,ta_ımak,"Pferd, Bauer, Robbe",,1.2,3,,,,,,,,,,,,,
8,T,3u,E,3,Auto fährt Hügel herunter,ilerlemek,"Auto, Wagen",1,2,3,,,,,,,,,,,,,
8,T,6b,E,4,Kuh hüpft,zıplamak,"Kuh, Feuerwehrmann",1,2,3,,,,,,,,,,,,,
8,T,,F,5,Boot schwimmt im Meer,yüzmek,"Seemann, Boot",,1,2,,,,,,,,,,,,,
8,T,,F,6,Bauer läuft über eine Wiese,ko_mak,"Bäuerin, Pferd, Bauer",,1,2,,,,,,,,,,,,,
8,T,4u,E,7,Ball liegt,durmak,"Ball, Ärztin",1,2,3,,,,,,,,,,,,,
8,T,2u,E,8,Auto hupt,kornak çalmak,"Auto, Hund",1,2,3,,,,,,,,,,,,,
